train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-01-05,2024-04-04,2024-04-05,2024-05-04,18,7,14.29,-5.3,False
2024-03-05,2024-06-04,2024-06-05,2024-07-04,19,7,14.29,-4.81,False
2024-04-05,2024-07-04,2024-07-05,2024-08-04,17,5,0.0,-8.76,False
2024-05-05,2024-08-04,2024-08-05,2024-09-04,15,8,25.0,-0.28,False
2024-06-05,2024-09-04,2024-09-05,2024-10-04,20,11,81.82,1.91,True
2024-08-05,2024-11-04,2024-11-05,2024-12-04,3,6,0.0,-6.65,False
2024-09-05,2024-12-04,2024-12-05,2025-01-04,9,8,25.0,-0.47,False
2024-11-05,2025-02-04,2025-02-05,2025-03-04,16,6,83.33,2.06,True
2024-12-05,2025-03-04,2025-03-05,2025-04-04,16,8,37.5,-1.69,False
2025-02-05,2025-05-04,2025-05-05,2025-06-04,8,7,85.71,2.76,True
2025-03-05,2025-06-04,2025-06-05,2025-07-04,9,15,66.67,1.5,True
2025-04-05,2025-07-04,2025-07-05,2025-08-04,22,7,100.0,4.47,True
2025-05-05,2025-08-04,2025-08-05,2025-09-04,23,18,38.89,-1.38,False
2025-06-05,2025-09-04,2025-09-05,2025-10-04,16,6,0.0,-3.96,False
2025-07-05,2025-10-04,2025-10-05,2025-11-04,31,8,0.0,-4.6,False
2025-08-05,2025-11-04,2025-11-05,2025-12-04,32,7,14.29,-1.8,False
2025-09-05,2025-12-04,2025-12-05,2026-01-04,21,5,100.0,5.65,True
2025-10-05,2026-01-04,2026-01-05,2026-02-04,7,12,41.67,2.82,True
