train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-01-08,2024-04-07,2024-04-08,2024-05-07,5,5,40.0,-2.38,False
2024-03-08,2024-06-07,2024-06-08,2024-07-07,5,5,100.0,3.75,True
2024-04-08,2024-07-07,2024-07-08,2024-08-07,6,5,60.0,1.31,True
2024-06-08,2024-09-07,2024-09-08,2024-10-07,4,6,66.67,0.73,True
2024-10-08,2025-01-07,2025-01-08,2025-02-07,4,10,40.0,-0.62,False
2024-11-08,2025-02-07,2025-02-08,2025-03-07,12,6,100.0,2.46,True
2024-12-08,2025-03-07,2025-03-08,2025-04-07,18,7,0.0,-13.16,False
2025-09-08,2025-12-07,2025-12-08,2026-01-07,4,13,30.77,-0.81,False
2025-11-08,2026-02-07,2026-02-08,2026-03-07,16,5,0.0,-8.03,False
2025-12-08,2026-03-07,2026-03-08,2026-04-07,17,9,22.22,-3.06,False
2026-02-08,2026-05-07,2026-05-08,2026-06-07,16,7,0.0,-2.0,False
