train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-02-15,2024-05-14,2024-05-15,2024-06-14,4,5,20.0,-1.3,False
2024-03-15,2024-06-14,2024-06-15,2024-07-14,9,5,60.0,-0.96,False
2024-04-15,2024-07-14,2024-07-15,2024-08-14,11,11,27.27,-0.21,False
2024-06-15,2024-09-14,2024-09-15,2024-10-14,20,6,16.67,-2.09,False
2024-07-15,2024-10-14,2024-10-15,2024-11-14,21,8,62.5,0.16,True
2025-07-15,2025-10-14,2025-10-15,2025-11-14,6,9,0.0,-1.43,False
2025-08-15,2025-11-14,2025-11-15,2025-12-14,14,16,12.5,-1.07,False
2025-09-15,2025-12-14,2025-12-15,2026-01-14,29,6,16.67,-0.24,False
2026-01-15,2026-04-14,2026-04-15,2026-05-14,3,9,11.11,-1.74,False
2026-02-15,2026-05-14,2026-05-15,2026-06-14,11,5,0.0,-3.05,False
