train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-01-15,2024-04-14,2024-04-15,2024-05-14,12,6,100.0,6.92,True
2024-03-15,2024-06-14,2024-06-15,2024-07-14,9,13,61.54,0.5,True
2024-04-15,2024-07-14,2024-07-15,2024-08-14,19,5,60.0,1.0,True
2024-11-15,2025-02-14,2025-02-15,2025-03-14,2,5,0.0,-1.95,False
2024-12-15,2025-03-14,2025-03-15,2025-04-14,7,8,12.5,-3.26,False
2025-02-15,2025-05-14,2025-05-15,2025-06-14,12,9,55.56,0.04,True
2025-03-15,2025-06-14,2025-06-15,2025-07-14,20,7,71.43,1.29,True
2025-05-15,2025-08-14,2025-08-15,2025-09-14,16,11,27.27,-0.49,False
2025-06-15,2025-09-14,2025-09-15,2025-10-14,18,9,44.44,-1.39,False
2025-07-15,2025-10-14,2025-10-15,2025-11-14,20,7,85.71,2.42,True
2025-09-15,2025-12-14,2025-12-15,2026-01-14,17,8,87.5,1.67,True
2025-10-15,2026-01-14,2026-01-15,2026-02-14,10,11,54.55,-0.01,False
2025-11-15,2026-02-14,2026-02-15,2026-03-14,14,9,11.11,-3.32,False
2025-12-15,2026-03-14,2026-03-15,2026-04-14,22,5,40.0,-1.26,False
