train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-02-02,2024-05-01,2024-05-02,2024-06-01,15,12,75.0,1.78,True
2024-06-02,2024-09-01,2024-09-02,2024-10-01,2,13,100.0,3.3,True
2024-07-02,2024-10-01,2024-10-02,2024-11-01,13,17,76.47,1.27,True
2024-08-02,2024-11-01,2024-11-02,2024-12-01,30,8,87.5,1.45,True
2024-09-02,2024-12-01,2024-12-02,2025-01-01,38,13,46.15,0.1,True
2024-11-02,2025-02-01,2025-02-02,2025-03-01,22,19,100.0,5.28,True
2024-12-02,2025-03-01,2025-03-02,2025-04-01,33,8,25.0,-1.58,False
2025-09-02,2025-12-01,2025-12-02,2026-01-01,1,12,66.67,1.39,True
2026-01-02,2026-04-01,2026-04-02,2026-05-01,3,8,37.5,-0.37,False
2026-03-02,2026-06-01,2026-06-02,2026-07-01,8,5,80.0,1.47,True
