train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2023-12-20,2024-02-19,2024-02-20,2024-03-19,5,10,50.0,2.36,True
2024-02-20,2024-04-19,2024-04-20,2024-05-19,12,8,100.0,6.4,True
2024-03-20,2024-05-19,2024-05-20,2024-06-19,10,6,33.33,0.76,True
2024-04-20,2024-06-19,2024-06-20,2024-07-19,6,10,30.0,-1.81,False
2024-10-20,2024-12-19,2024-12-20,2025-01-19,3,4,0.0,-7.74,False
2024-11-20,2025-01-19,2025-01-20,2025-02-19,7,7,100.0,1.99,True
2025-02-20,2025-04-19,2025-04-20,2025-05-19,2,5,40.0,-0.11,False
2025-03-20,2025-05-19,2025-05-20,2025-06-19,5,9,44.44,-0.39,False
2025-04-20,2025-06-19,2025-06-20,2025-07-19,5,4,75.0,0.41,True
2025-08-20,2025-10-19,2025-10-20,2025-11-19,2,7,42.86,-0.41,False
2025-10-20,2025-12-19,2025-12-20,2026-01-19,7,8,62.5,3.67,True
2025-11-20,2026-01-19,2026-01-20,2026-02-19,8,8,62.5,10.19,True
2025-12-20,2026-02-19,2026-02-20,2026-03-19,16,5,0.0,-8.81,False
2026-01-20,2026-03-19,2026-03-20,2026-04-19,13,3,66.67,2.28,True
2026-02-20,2026-04-19,2026-04-20,2026-05-19,8,7,57.14,0.65,True
