train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2023-12-20,2024-02-19,2024-02-20,2024-03-19,29,11,36.36,0.1,True
2024-01-20,2024-03-19,2024-03-20,2024-04-19,24,5,60.0,0.32,True
2024-02-20,2024-04-19,2024-04-20,2024-05-19,7,4,75.0,2.38,True
2024-03-20,2024-05-19,2024-05-20,2024-06-19,9,4,75.0,3.83,True
2024-04-20,2024-06-19,2024-06-20,2024-07-19,4,4,50.0,-0.12,False
2024-05-20,2024-07-19,2024-07-20,2024-08-19,4,7,57.14,2.33,True
2024-06-20,2024-08-19,2024-08-20,2024-09-19,11,3,66.67,0.85,True
2024-07-20,2024-09-19,2024-09-20,2024-10-19,10,4,0.0,-4.05,False
2024-10-20,2024-12-19,2024-12-20,2025-01-19,2,3,0.0,-6.49,False
2024-12-20,2025-02-19,2025-02-20,2025-03-19,3,13,0.0,-2.26,False
2025-01-20,2025-03-19,2025-03-20,2025-04-19,15,8,0.0,-11.88,False
2025-02-20,2025-04-19,2025-04-20,2025-05-19,21,6,100.0,9.81,True
2025-03-20,2025-05-19,2025-05-20,2025-06-19,14,3,66.67,-0.18,False
2025-04-20,2025-06-19,2025-06-20,2025-07-19,4,3,0.0,-1.52,False
2025-06-20,2025-08-19,2025-08-20,2025-09-19,3,3,33.33,0.58,True
2025-07-20,2025-09-19,2025-09-20,2025-10-19,3,13,53.85,0.38,True
2025-08-20,2025-10-19,2025-10-20,2025-11-19,16,12,16.67,-2.19,False
2025-09-20,2025-11-19,2025-11-20,2025-12-19,25,3,66.67,3.45,True
2025-10-20,2025-12-19,2025-12-20,2026-01-19,15,5,60.0,1.36,True
2025-11-20,2026-01-19,2026-01-20,2026-02-19,3,3,100.0,19.35,True
2026-01-20,2026-03-19,2026-03-20,2026-04-19,4,4,0.0,-2.25,False
2026-02-20,2026-04-19,2026-04-20,2026-05-19,5,3,33.33,-0.79,False
