train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2023-12-29,2024-03-28,2024-03-29,2024-04-28,34,17,47.06,0.19,True
2024-01-29,2024-04-28,2024-04-29,2024-05-28,43,5,100.0,8.12,True
2024-03-29,2024-06-28,2024-06-29,2024-07-28,5,11,63.64,3.7,True
2024-04-29,2024-07-28,2024-07-29,2024-08-28,5,11,36.36,-1.3,False
2024-05-29,2024-08-28,2024-08-29,2024-09-28,3,8,37.5,-0.44,False
2024-06-29,2024-09-28,2024-09-29,2024-10-28,30,13,30.77,-1.02,False
2024-07-29,2024-10-28,2024-10-29,2024-11-28,32,5,0.0,-1.73,False
2024-08-29,2024-11-28,2024-11-29,2024-12-28,26,16,56.25,1.07,True
2024-09-29,2024-12-28,2024-12-29,2025-01-28,34,15,60.0,3.75,True
2024-11-29,2025-02-27,2025-02-28,2025-03-27,32,9,0.0,-5.33,False
2025-01-29,2025-04-28,2025-04-29,2025-05-28,13,14,85.71,3.3,True
2025-02-28,2025-05-27,2025-05-28,2025-06-27,26,21,23.81,-0.71,False
2025-03-28,2025-06-27,2025-06-28,2025-07-27,38,8,87.5,4.88,True
2025-06-28,2025-09-27,2025-09-28,2025-10-27,6,6,0.0,-7.46,False
2025-07-28,2025-10-27,2025-10-28,2025-11-27,6,13,38.46,-0.38,False
2025-09-28,2025-12-27,2025-12-28,2026-01-27,5,16,43.75,1.95,True
2025-10-28,2026-01-27,2026-01-28,2026-02-27,5,7,0.0,-3.6,False
2025-12-28,2026-03-27,2026-03-28,2026-04-27,24,15,53.33,0.95,True
2026-01-28,2026-04-27,2026-04-28,2026-05-27,23,8,37.5,-1.34,False
