train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-01-04,2024-04-03,2024-04-04,2024-05-03,27,10,50.0,0.64,True
2024-02-04,2024-05-03,2024-05-04,2024-06-03,9,10,90.0,7.61,True
2024-06-04,2024-09-03,2024-09-04,2024-10-03,3,5,100.0,6.06,True
2024-09-04,2024-12-03,2024-12-04,2025-01-03,8,10,30.0,-1.08,False
2024-11-04,2025-02-03,2025-02-04,2025-03-03,15,11,72.73,3.23,True
2024-12-04,2025-03-03,2025-03-04,2025-04-03,12,8,37.5,-1.87,False
2025-02-04,2025-05-03,2025-05-04,2025-06-03,19,6,100.0,6.02,True
2025-03-04,2025-06-03,2025-06-04,2025-07-03,7,11,81.82,2.07,True
2025-04-04,2025-07-03,2025-07-04,2025-08-03,17,5,100.0,5.31,True
2025-05-04,2025-08-03,2025-08-04,2025-09-03,18,17,41.18,-2.2,False
2025-07-04,2025-10-03,2025-10-04,2025-11-03,25,6,0.0,-5.97,False
2025-10-04,2026-01-03,2026-01-04,2026-02-03,12,8,75.0,1.5,True
2025-11-04,2026-02-03,2026-02-04,2026-03-03,14,5,20.0,-4.59,False
2025-12-04,2026-03-03,2026-03-04,2026-04-03,16,5,60.0,-2.25,False
