train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-01-15,2024-04-14,2024-04-15,2024-05-14,20,9,100.0,17.2,True
2024-02-15,2024-05-14,2024-05-15,2024-06-14,19,8,100.0,6.64,True
2024-05-15,2024-08-14,2024-08-15,2024-09-14,12,7,14.29,-1.75,False
2024-06-15,2024-09-14,2024-09-15,2024-10-14,7,13,38.46,0.59,True
2024-07-15,2024-10-14,2024-10-15,2024-11-14,20,18,50.0,2.63,True
2024-08-15,2024-11-14,2024-11-15,2024-12-14,38,19,63.16,1.21,True
2024-09-15,2024-12-14,2024-12-15,2025-01-14,32,6,16.67,-3.06,False
2024-11-15,2025-02-14,2025-02-15,2025-03-14,10,7,14.29,-1.99,False
2025-02-15,2025-05-14,2025-05-15,2025-06-14,7,8,75.0,1.9,True
2025-03-15,2025-06-14,2025-06-15,2025-07-14,8,7,100.0,9.14,True
2025-05-15,2025-08-14,2025-08-15,2025-09-14,14,6,0.0,-6.04,False
2025-07-15,2025-10-14,2025-10-15,2025-11-14,8,8,25.0,-1.46,False
2025-10-15,2026-01-14,2026-01-15,2026-02-14,13,6,66.67,0.22,True
2025-12-15,2026-03-14,2026-03-15,2026-04-14,6,5,20.0,-1.13,False
2026-01-15,2026-04-14,2026-04-15,2026-05-14,8,9,11.11,-1.85,False
2026-02-15,2026-05-14,2026-05-15,2026-06-14,17,7,28.57,-0.63,False
