train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-03-02,2024-06-01,2024-06-02,2024-07-01,5,8,37.5,-0.18,False
2024-05-02,2024-08-01,2024-08-02,2024-09-01,8,9,66.67,1.48,True
2024-06-02,2024-09-01,2024-09-02,2024-10-01,9,7,71.43,0.43,True
2024-07-02,2024-10-01,2024-10-02,2024-11-01,8,11,0.0,-2.22,False
2024-08-02,2024-11-01,2024-11-02,2024-12-01,19,6,16.67,-2.23,False
2024-09-02,2024-12-01,2024-12-02,2025-01-01,24,7,42.86,0.19,True
2024-12-02,2025-03-01,2025-03-02,2025-04-01,10,6,16.67,-0.19,False
2025-01-02,2025-04-01,2025-04-02,2025-05-01,9,14,21.43,-1.78,False
2025-03-02,2025-06-01,2025-06-02,2025-07-01,7,5,60.0,1.81,True
2025-04-02,2025-07-01,2025-07-02,2025-08-01,6,6,66.67,1.53,True
2025-05-02,2025-08-01,2025-08-02,2025-09-01,11,8,50.0,0.15,True
2025-06-02,2025-09-01,2025-09-02,2025-10-01,19,8,12.5,-0.94,False
2025-07-02,2025-10-01,2025-10-02,2025-11-01,22,7,0.0,-0.57,False
2025-08-02,2025-11-01,2025-11-02,2025-12-01,23,14,21.43,-0.52,False
2025-09-02,2025-12-01,2025-12-02,2026-01-01,29,15,20.0,-0.8,False
2025-11-02,2026-02-01,2026-02-02,2026-03-01,29,8,87.5,3.25,True
2025-12-02,2026-03-01,2026-03-02,2026-04-01,23,5,20.0,-0.81,False
2026-01-02,2026-04-01,2026-04-02,2026-05-01,8,5,60.0,1.6,True
2026-02-02,2026-05-01,2026-05-02,2026-06-01,13,9,44.44,-0.48,False
2026-03-02,2026-06-01,2026-06-02,2026-07-01,14,9,22.22,-0.8,False
