train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-01-08,2024-04-07,2024-04-08,2024-05-07,15,6,16.67,-5.26,False
2024-02-08,2024-05-07,2024-05-08,2024-06-07,10,9,55.56,0.32,True
2024-03-08,2024-06-07,2024-06-08,2024-07-07,19,11,9.09,-1.89,False
2024-05-08,2024-08-07,2024-08-08,2024-09-07,24,5,20.0,-0.4,False
2024-06-08,2024-09-07,2024-09-08,2024-10-07,15,12,25.0,-0.49,False
2024-07-08,2024-10-07,2024-10-08,2024-11-07,16,10,70.0,0.75,True
2024-08-08,2024-11-07,2024-11-08,2024-12-07,22,8,62.5,1.8,True
2024-10-08,2025-01-07,2025-01-08,2025-02-07,20,7,28.57,-0.3,False
2024-11-08,2025-02-07,2025-02-08,2025-03-07,17,6,100.0,1.7,True
2024-12-08,2025-03-07,2025-03-08,2025-04-07,15,9,11.11,-2.43,False
2025-01-08,2025-04-07,2025-04-08,2025-05-07,22,8,100.0,3.52,True
2025-03-08,2025-06-07,2025-06-08,2025-07-07,9,6,100.0,2.98,True
2025-07-08,2025-10-07,2025-10-08,2025-11-07,5,11,27.27,-1.88,False
2025-08-08,2025-11-07,2025-11-08,2025-12-07,14,10,70.0,1.24,True
2025-10-08,2026-01-07,2026-01-08,2026-02-07,25,5,0.0,-3.13,False
2025-11-08,2026-02-07,2026-02-08,2026-03-07,19,12,33.33,-2.84,False
2025-12-08,2026-03-07,2026-03-08,2026-04-07,9,11,54.55,2.22,True
2026-01-08,2026-04-07,2026-04-08,2026-05-07,5,9,44.44,0.04,True
2026-02-08,2026-05-07,2026-05-08,2026-06-07,9,7,71.43,3.8,True
