train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-02-02,2024-05-01,2024-05-02,2024-06-01,4,5,100.0,4.32,True
2024-03-02,2024-06-01,2024-06-02,2024-07-01,4,5,80.0,5.5,True
2024-04-02,2024-07-01,2024-07-02,2024-08-01,5,9,33.33,6.37,True
2024-06-02,2024-09-01,2024-09-02,2024-10-01,9,16,43.75,-0.74,False
2024-08-02,2024-11-01,2024-11-02,2024-12-01,7,11,81.82,3.63,True
2024-11-02,2025-02-01,2025-02-02,2025-03-01,13,7,42.86,0.47,True
2025-02-02,2025-05-01,2025-05-02,2025-06-01,7,6,83.33,1.13,True
2025-03-02,2025-06-01,2025-06-02,2025-07-01,6,6,83.33,1.56,True
2025-04-02,2025-07-01,2025-07-02,2025-08-01,12,5,40.0,0.03,True
2025-05-02,2025-08-01,2025-08-02,2025-09-01,17,5,20.0,-2.09,False
2025-06-02,2025-09-01,2025-09-02,2025-10-01,16,13,7.69,-2.98,False
2025-08-02,2025-11-01,2025-11-02,2025-12-01,11,9,22.22,-0.81,False
2026-01-02,2026-04-01,2026-04-02,2026-05-01,7,6,33.33,-2.32,False
2026-02-02,2026-05-01,2026-05-02,2026-06-01,9,7,0.0,-2.79,False
