train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-02-02,2024-05-01,2024-05-02,2024-06-01,12,9,55.56,1.01,True
2024-03-02,2024-06-01,2024-06-02,2024-07-01,7,11,45.45,0.88,True
2024-05-02,2024-08-01,2024-08-02,2024-09-01,16,6,0.0,-2.05,False
2024-06-02,2024-09-01,2024-09-02,2024-10-01,16,9,0.0,-2.69,False
2024-07-02,2024-10-01,2024-10-02,2024-11-01,7,9,88.89,2.08,True
2024-08-02,2024-11-01,2024-11-02,2024-12-01,13,7,57.14,-0.45,False
2024-09-02,2024-12-01,2024-12-02,2025-01-01,11,16,68.75,1.46,True
2024-10-02,2025-01-01,2025-01-02,2025-02-01,25,9,100.0,4.09,True
2024-12-02,2025-03-01,2025-03-02,2025-04-01,18,9,11.11,-5.39,False
2025-03-02,2025-06-01,2025-06-02,2025-07-01,5,13,69.23,1.51,True
2025-04-02,2025-07-01,2025-07-02,2025-08-01,17,18,38.89,-1.03,False
2025-05-02,2025-08-01,2025-08-02,2025-09-01,35,7,14.29,-3.91,False
2025-07-02,2025-10-01,2025-10-02,2025-11-01,22,8,75.0,5.09,True
2025-10-02,2026-01-01,2026-01-02,2026-02-01,11,7,100.0,5.54,True
2025-11-02,2026-02-01,2026-02-02,2026-03-01,10,10,80.0,3.3,True
2025-12-02,2026-03-01,2026-03-02,2026-04-01,12,12,25.0,-3.72,False
2026-01-02,2026-04-01,2026-04-02,2026-05-01,9,8,75.0,2.51,True
