train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-02-02,2024-05-01,2024-05-02,2024-06-01,18,8,75.0,0.82,True
2024-03-02,2024-06-01,2024-06-02,2024-07-01,26,9,66.67,1.11,True
2024-04-02,2024-07-01,2024-07-02,2024-08-01,27,11,18.18,-1.83,False
2024-05-02,2024-08-01,2024-08-02,2024-09-01,28,5,80.0,3.77,True
2024-07-02,2024-10-01,2024-10-02,2024-11-01,16,11,18.18,-1.28,False
2024-08-02,2024-11-01,2024-11-02,2024-12-01,16,17,52.94,0.11,True
2024-10-02,2025-01-01,2025-01-02,2025-02-01,28,6,100.0,3.39,True
2025-01-02,2025-04-01,2025-04-02,2025-05-01,9,12,50.0,-1.68,False
2025-03-02,2025-06-01,2025-06-02,2025-07-01,4,7,42.86,1.64,True
2025-06-02,2025-09-01,2025-09-02,2025-10-01,9,7,85.71,1.6,True
2025-07-02,2025-10-01,2025-10-02,2025-11-01,9,11,45.45,1.82,True
2025-08-02,2025-11-01,2025-11-02,2025-12-01,9,9,44.44,0.84,True
2025-09-02,2025-12-01,2025-12-02,2026-01-01,18,5,100.0,1.91,True
2025-11-02,2026-02-01,2026-02-02,2026-03-01,14,6,33.33,-3.36,False
2025-12-02,2026-03-01,2026-03-02,2026-04-01,11,12,25.0,-1.56,False
2026-01-02,2026-04-01,2026-04-02,2026-05-01,8,5,100.0,3.31,True
2026-02-02,2026-05-01,2026-05-02,2026-06-01,13,8,0.0,-2.18,False
