train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-02-04,2024-05-03,2024-05-04,2024-06-03,2,6,83.33,1.34,True
2024-03-04,2024-06-03,2024-06-04,2024-07-03,6,6,83.33,11.47,True
2024-05-04,2024-08-03,2024-08-04,2024-09-03,12,8,25.0,-1.07,False
2024-06-04,2024-09-03,2024-09-04,2024-10-03,7,9,66.67,1.17,True
2024-07-04,2024-10-03,2024-10-04,2024-11-03,10,7,42.86,0.36,True
2024-09-04,2024-12-03,2024-12-04,2025-01-03,20,6,100.0,2.28,True
2024-10-04,2025-01-03,2025-01-04,2025-02-03,17,8,62.5,1.17,True
2024-11-04,2025-02-03,2025-02-04,2025-03-03,18,5,0.0,-3.49,False
2024-12-04,2025-03-03,2025-03-04,2025-04-03,19,5,0.0,-5.3,False
2025-03-04,2025-06-03,2025-06-04,2025-07-03,4,9,66.67,1.13,True
2025-06-04,2025-09-03,2025-09-04,2025-10-03,6,9,22.22,-2.29,False
2026-01-04,2026-04-03,2026-04-04,2026-05-03,4,6,66.67,0.63,True
