train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2023-12-28,2024-03-27,2024-03-28,2024-04-27,16,6,33.33,-3.07,False
2024-01-28,2024-04-27,2024-04-28,2024-05-27,10,6,100.0,7.42,True
2024-02-28,2024-05-27,2024-05-28,2024-06-27,7,6,0.0,-6.96,False
2024-03-28,2024-06-27,2024-06-28,2024-07-27,12,6,16.67,-5.06,False
2024-05-28,2024-08-27,2024-08-28,2024-09-27,7,7,85.71,1.93,True
2024-06-28,2024-09-27,2024-09-28,2024-10-27,8,8,12.5,-3.27,False
2024-08-28,2024-11-27,2024-11-28,2024-12-27,17,7,42.86,-0.45,False
2024-11-28,2025-02-27,2025-02-28,2025-03-27,12,7,28.57,-1.7,False
2025-01-28,2025-04-27,2025-04-28,2025-05-27,10,6,100.0,3.74,True
2025-02-28,2025-05-27,2025-05-28,2025-06-27,6,8,87.5,3.04,True
2025-04-28,2025-07-27,2025-07-28,2025-08-27,3,8,25.0,-2.96,False
2025-05-28,2025-08-27,2025-08-28,2025-09-27,3,11,18.18,-3.74,False
2025-08-28,2025-11-27,2025-11-28,2025-12-27,4,14,35.71,-2.29,False
2025-09-28,2025-12-27,2025-12-28,2026-01-27,17,14,21.43,-2.34,False
2025-10-28,2026-01-27,2026-01-28,2026-02-27,16,5,20.0,-2.11,False
