train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-03-02,2024-06-01,2024-06-02,2024-07-01,5,8,50.0,0.14,True
2024-04-02,2024-07-01,2024-07-02,2024-08-01,13,8,37.5,-2.56,False
2024-05-02,2024-08-01,2024-08-02,2024-09-01,16,11,63.64,0.91,True
2024-07-02,2024-10-01,2024-10-02,2024-11-01,11,8,50.0,0.97,True
2024-08-02,2024-11-01,2024-11-02,2024-12-01,11,9,55.56,-0.72,False
2024-10-02,2025-01-01,2025-01-02,2025-02-01,20,9,44.44,-0.4,False
2024-11-02,2025-02-01,2025-02-02,2025-03-01,14,6,100.0,3.18,True
2024-12-02,2025-03-01,2025-03-02,2025-04-01,11,9,11.11,-7.92,False
2025-01-02,2025-04-01,2025-04-02,2025-05-01,17,8,37.5,-2.93,False
2025-06-02,2025-09-01,2025-09-02,2025-10-01,7,5,40.0,-0.33,False
2025-07-02,2025-10-01,2025-10-02,2025-11-01,11,13,15.38,-2.31,False
2025-08-02,2025-11-01,2025-11-02,2025-12-01,21,9,55.56,1.6,True
2025-09-02,2025-12-01,2025-12-02,2026-01-01,27,6,33.33,-0.26,False
2025-10-02,2026-01-01,2026-01-02,2026-02-01,28,5,100.0,3.38,True
2025-11-02,2026-02-01,2026-02-02,2026-03-01,20,7,28.57,-3.41,False
2026-01-02,2026-04-01,2026-04-02,2026-05-01,14,13,46.15,0.44,True
2026-02-02,2026-05-01,2026-05-02,2026-06-01,22,5,0.0,-2.13,False
2026-03-02,2026-06-01,2026-06-02,2026-07-01,20,11,27.27,-1.32,False
