train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-01-29,2024-04-28,2024-04-29,2024-05-28,3,5,0.0,-0.99,False
2024-02-29,2024-05-28,2024-05-29,2024-06-28,5,8,62.5,0.48,True
2024-08-29,2024-11-28,2024-11-29,2024-12-28,10,16,56.25,0.79,True
2025-02-28,2025-05-27,2025-05-28,2025-06-27,5,9,44.44,-0.45,False
2025-03-28,2025-06-27,2025-06-28,2025-07-27,13,8,12.5,-2.0,False
2025-04-28,2025-07-27,2025-07-28,2025-08-27,20,14,42.86,0.52,True
2025-05-28,2025-08-27,2025-08-28,2025-09-27,31,9,22.22,-2.6,False
2025-06-28,2025-09-27,2025-09-28,2025-10-27,31,5,100.0,8.69,True
2025-07-28,2025-10-27,2025-10-28,2025-11-27,4,11,54.55,0.61,True
2025-08-28,2025-11-27,2025-11-28,2025-12-27,3,10,80.0,3.49,True
2025-09-28,2025-12-27,2025-12-28,2026-01-27,3,5,20.0,-1.23,False
