train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-03-15,2024-06-14,2024-06-15,2024-07-14,5,10,50.0,-0.49,False
2024-04-15,2024-07-14,2024-07-15,2024-08-14,12,6,50.0,-1.13,False
2024-05-15,2024-08-14,2024-08-15,2024-09-14,16,5,20.0,-0.26,False
2024-07-15,2024-10-14,2024-10-15,2024-11-14,15,6,0.0,-2.26,False
2024-10-15,2025-01-14,2025-01-15,2025-02-14,11,11,9.09,-2.01,False
2024-11-15,2025-02-14,2025-02-15,2025-03-14,7,5,20.0,-1.47,False
2025-03-15,2025-06-14,2025-06-15,2025-07-14,4,5,100.0,6.53,True
2025-05-15,2025-08-14,2025-08-15,2025-09-14,9,8,100.0,6.3,True
2025-07-15,2025-10-14,2025-10-15,2025-11-14,12,6,83.33,3.16,True
2025-08-15,2025-11-14,2025-11-15,2025-12-14,18,11,18.18,-1.41,False
2025-09-15,2025-12-14,2025-12-15,2026-01-14,21,8,87.5,2.61,True
2025-10-15,2026-01-14,2026-01-15,2026-02-14,25,5,100.0,10.05,True
2025-11-15,2026-02-14,2026-02-15,2026-03-14,24,7,14.29,-4.85,False
2025-12-15,2026-03-14,2026-03-15,2026-04-14,13,5,100.0,4.79,True
2026-01-15,2026-04-14,2026-04-15,2026-05-14,10,6,50.0,-0.56,False
2026-02-15,2026-05-14,2026-05-15,2026-06-14,11,9,66.67,1.1,True
