train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2023-12-27,2024-03-26,2024-03-27,2024-04-26,6,5,40.0,0.25,True
2024-03-27,2024-06-26,2024-06-27,2024-07-26,11,10,70.0,2.38,True
2024-04-27,2024-07-26,2024-07-27,2024-08-26,16,5,40.0,-2.49,False
2024-06-27,2024-09-26,2024-09-27,2024-10-26,15,8,50.0,0.19,True
2024-07-27,2024-10-26,2024-10-27,2024-11-26,13,13,69.23,1.38,True
2024-09-27,2024-12-26,2024-12-27,2025-01-26,14,13,53.85,0.57,True
2024-11-27,2025-02-26,2025-02-27,2025-03-26,17,8,0.0,-0.72,False
2024-12-27,2025-03-26,2025-03-27,2025-04-26,21,12,41.67,-1.82,False
2025-05-27,2025-08-26,2025-08-27,2025-09-26,2,5,80.0,1.68,True
2025-06-27,2025-09-26,2025-09-27,2025-10-26,5,14,21.43,-1.86,False
2025-08-27,2025-11-26,2025-11-27,2025-12-26,21,15,40.0,-0.48,False
2025-12-27,2026-03-26,2026-03-27,2026-04-26,3,5,0.0,-4.82,False
2026-01-27,2026-04-26,2026-04-27,2026-05-26,5,7,85.71,2.38,True
