train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-03-29,2024-06-28,2024-06-29,2024-07-28,13,7,71.43,2.17,True
2024-04-29,2024-07-28,2024-07-29,2024-08-28,8,5,40.0,-1.79,False
2024-05-29,2024-08-28,2024-08-29,2024-09-28,13,9,11.11,-1.52,False
2024-06-29,2024-09-28,2024-09-29,2024-10-28,21,6,0.0,-3.45,False
2024-07-29,2024-10-28,2024-10-29,2024-11-28,20,14,50.0,-1.0,False
2024-09-29,2024-12-28,2024-12-29,2025-01-28,20,8,37.5,0.39,True
2024-11-29,2025-02-27,2025-02-28,2025-03-27,10,6,0.0,-2.45,False
2025-02-28,2025-05-27,2025-05-28,2025-06-27,9,6,83.33,2.17,True
2025-04-28,2025-07-27,2025-07-28,2025-08-27,7,9,77.78,1.78,True
2025-05-28,2025-08-27,2025-08-28,2025-09-27,10,12,16.67,-1.59,False
2025-07-28,2025-10-27,2025-10-28,2025-11-27,25,8,12.5,-0.79,False
2025-08-28,2025-11-27,2025-11-28,2025-12-27,24,6,0.0,-1.75,False
2025-09-28,2025-12-27,2025-12-28,2026-01-27,18,6,83.33,2.3,True
2025-10-28,2026-01-27,2026-01-28,2026-02-27,16,8,75.0,0.9,True
2025-11-28,2026-02-27,2026-02-28,2026-03-27,16,10,10.0,-3.42,False
2025-12-28,2026-03-27,2026-03-28,2026-04-27,12,11,27.27,-1.36,False
2026-01-28,2026-04-27,2026-04-28,2026-05-27,21,7,57.14,1.5,True
2026-02-28,2026-05-27,2026-05-28,2026-06-27,20,7,0.0,-0.96,False
