train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-02-15,2024-05-14,2024-05-15,2024-06-14,13,6,33.33,-0.51,False
2024-03-15,2024-06-14,2024-06-15,2024-07-14,8,8,0.0,-4.13,False
2024-04-15,2024-07-14,2024-07-15,2024-08-14,16,19,57.89,1.49,True
2024-06-15,2024-09-14,2024-09-15,2024-10-14,9,12,75.0,3.2,True
2025-01-15,2025-04-14,2025-04-15,2025-05-14,8,7,85.71,4.42,True
2025-07-15,2025-10-14,2025-10-15,2025-11-14,13,12,16.67,-3.27,False
2025-08-15,2025-11-14,2025-11-15,2025-12-14,25,8,0.0,-5.21,False
2025-09-15,2025-12-14,2025-12-15,2026-01-14,10,19,26.32,-1.76,False
2025-10-15,2026-01-14,2026-01-15,2026-02-14,10,7,71.43,3.82,True
2025-12-15,2026-03-14,2026-03-15,2026-04-14,12,5,80.0,4.51,True
2026-02-15,2026-05-14,2026-05-15,2026-06-14,3,10,70.0,0.6,True
