train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-03-15,2024-06-14,2024-06-15,2024-07-14,12,5,40.0,-0.58,False
2024-04-15,2024-07-14,2024-07-15,2024-08-14,7,8,37.5,-0.37,False
2024-05-15,2024-08-14,2024-08-15,2024-09-14,15,5,60.0,0.19,True
2024-07-15,2024-10-14,2024-10-15,2024-11-14,16,6,16.67,-0.37,False
2024-09-15,2024-12-14,2024-12-15,2025-01-14,7,5,20.0,-2.39,False
2025-01-15,2025-04-14,2025-04-15,2025-05-14,5,8,100.0,2.31,True
2025-04-15,2025-07-14,2025-07-15,2025-08-14,4,5,100.0,8.57,True
2025-05-15,2025-08-14,2025-08-15,2025-09-14,4,10,50.0,0.81,True
2025-07-15,2025-10-14,2025-10-15,2025-11-14,3,6,0.0,-6.36,False
2025-09-15,2025-12-14,2025-12-15,2026-01-14,7,19,63.16,1.63,True
2025-10-15,2026-01-14,2026-01-15,2026-02-14,4,10,50.0,0.1,True
2025-12-15,2026-03-14,2026-03-15,2026-04-14,33,16,56.25,1.34,True
2026-01-15,2026-04-14,2026-04-15,2026-05-14,30,9,33.33,-1.59,False
2026-02-15,2026-05-14,2026-05-15,2026-06-14,10,15,33.33,-0.44,False
2026-03-15,2026-06-14,2026-06-15,2026-07-14,25,6,16.67,-1.19,False
