train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-01-15,2024-04-14,2024-04-15,2024-05-14,9,10,90.0,5.76,True
2024-04-15,2024-07-14,2024-07-15,2024-08-14,5,7,57.14,0.88,True
2024-05-15,2024-08-14,2024-08-15,2024-09-14,10,6,100.0,5.1,True
2024-09-15,2024-12-14,2024-12-15,2025-01-14,4,5,0.0,-1.21,False
2024-12-15,2025-03-14,2025-03-15,2025-04-14,10,11,36.36,-4.99,False
2025-01-15,2025-04-14,2025-04-15,2025-05-14,16,8,100.0,3.54,True
2025-02-15,2025-05-14,2025-05-15,2025-06-14,14,5,80.0,1.84,True
2025-05-15,2025-08-14,2025-08-15,2025-09-14,3,15,26.67,0.87,True
2025-07-15,2025-10-14,2025-10-15,2025-11-14,15,5,60.0,1.46,True
2025-08-15,2025-11-14,2025-11-15,2025-12-14,20,8,62.5,0.92,True
2025-10-15,2026-01-14,2026-01-15,2026-02-14,14,6,0.0,-6.62,False
2026-01-15,2026-04-14,2026-04-15,2026-05-14,6,7,14.29,-1.86,False
2026-02-15,2026-05-14,2026-05-15,2026-06-14,7,10,30.0,-1.17,False
