train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-02-02,2024-05-01,2024-05-02,2024-06-01,7,10,80.0,7.85,True
2024-04-02,2024-07-01,2024-07-02,2024-08-01,14,5,0.0,-5.87,False
2024-05-02,2024-08-01,2024-08-02,2024-09-01,19,7,0.0,-3.03,False
2024-07-02,2024-10-01,2024-10-02,2024-11-01,11,14,35.71,-0.96,False
2024-08-02,2024-11-01,2024-11-02,2024-12-01,25,8,25.0,-3.4,False
2024-10-02,2025-01-01,2025-01-02,2025-02-01,25,5,80.0,2.71,True
2025-05-02,2025-08-01,2025-08-02,2025-09-01,9,14,42.86,0.08,True
2025-07-02,2025-10-01,2025-10-02,2025-11-01,22,11,36.36,-3.18,False
2025-10-02,2026-01-01,2026-01-02,2026-02-01,12,12,58.33,0.58,True
2025-12-02,2026-03-01,2026-03-02,2026-04-01,17,14,42.86,-1.1,False
2026-01-02,2026-04-01,2026-04-02,2026-05-01,16,8,50.0,-0.71,False
2026-02-02,2026-05-01,2026-05-02,2026-06-01,5,11,27.27,-1.44,False
