train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-02-08,2024-05-07,2024-05-08,2024-06-07,8,8,25.0,-0.52,False
2024-03-08,2024-06-07,2024-06-08,2024-07-07,14,12,16.67,-2.29,False
2024-05-08,2024-08-07,2024-08-08,2024-09-07,24,7,71.43,2.33,True
2024-06-08,2024-09-07,2024-09-08,2024-10-07,16,6,100.0,2.79,True
2024-07-08,2024-10-07,2024-10-08,2024-11-07,10,9,44.44,-0.24,False
2024-08-08,2024-11-07,2024-11-08,2024-12-07,15,12,50.0,0.12,True
2024-11-08,2025-02-07,2025-02-08,2025-03-07,12,7,71.43,1.73,True
2024-12-08,2025-03-07,2025-03-08,2025-04-07,7,6,0.0,-6.66,False
2025-01-08,2025-04-07,2025-04-08,2025-05-07,13,9,100.0,4.59,True
2025-02-08,2025-05-07,2025-05-08,2025-06-07,13,11,36.36,-1.55,False
2025-03-08,2025-06-07,2025-06-08,2025-07-07,17,14,64.29,0.85,True
2025-05-08,2025-08-07,2025-08-08,2025-09-07,25,6,16.67,-4.0,False
2025-06-08,2025-09-07,2025-09-08,2025-10-07,14,12,58.33,0.82,True
2025-08-08,2025-11-07,2025-11-08,2025-12-07,5,11,54.55,2.33,True
2025-10-08,2026-01-07,2026-01-08,2026-02-07,19,12,33.33,-1.36,False
2025-11-08,2026-02-07,2026-02-08,2026-03-07,27,6,16.67,-5.57,False
2025-12-08,2026-03-07,2026-03-08,2026-04-07,22,9,66.67,2.25,True
2026-02-08,2026-05-07,2026-05-08,2026-06-07,7,11,18.18,-1.0,False
