train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2023-12-29,2024-03-28,2024-03-29,2024-04-28,12,10,40.0,0.75,True
2024-03-29,2024-06-28,2024-06-29,2024-07-28,10,8,50.0,0.35,True
2024-05-29,2024-08-28,2024-08-29,2024-09-28,12,7,85.71,1.66,True
2024-06-29,2024-09-28,2024-09-29,2024-10-28,19,7,85.71,1.04,True
2024-07-29,2024-10-28,2024-10-29,2024-11-28,18,9,55.56,1.91,True
2024-09-29,2024-12-28,2024-12-29,2025-01-28,17,10,40.0,-0.08,False
2024-10-29,2025-01-28,2025-01-29,2025-02-27,20,15,13.33,-1.21,False
2024-12-29,2025-03-28,2025-03-29,2025-04-28,28,10,20.0,-2.23,False
2025-02-28,2025-05-27,2025-05-28,2025-06-27,3,9,88.89,1.36,True
2025-04-28,2025-07-27,2025-07-28,2025-08-27,9,11,27.27,-0.72,False
2025-05-28,2025-08-27,2025-08-28,2025-09-27,20,12,25.0,-1.79,False
2025-06-28,2025-09-27,2025-09-28,2025-10-27,23,9,55.56,2.98,True
2025-07-28,2025-10-27,2025-10-28,2025-11-27,25,8,25.0,-1.19,False
2025-08-28,2025-11-27,2025-11-28,2025-12-27,22,14,42.86,-0.36,False
2025-10-28,2026-01-27,2026-01-28,2026-02-27,26,5,0.0,-5.26,False
2025-12-28,2026-03-27,2026-03-28,2026-04-27,9,10,60.0,1.2,True
2026-01-28,2026-04-27,2026-04-28,2026-05-27,15,9,55.56,0.11,True
