train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-04-28,2024-07-27,2024-07-28,2024-08-27,5,5,100.0,6.29,True
2024-05-28,2024-08-27,2024-08-28,2024-09-27,8,18,61.11,0.41,True
2024-06-28,2024-09-27,2024-09-28,2024-10-27,7,5,20.0,-0.88,False
2024-07-28,2024-10-27,2024-10-28,2024-11-27,7,6,16.67,-3.11,False
2024-08-28,2024-11-27,2024-11-28,2024-12-27,29,14,21.43,-0.98,False
2024-10-28,2025-01-27,2025-01-28,2025-02-27,22,14,78.57,4.17,True
2024-11-28,2025-02-27,2025-02-28,2025-03-27,30,5,20.0,-0.76,False
2025-01-28,2025-04-27,2025-04-28,2025-05-27,5,9,77.78,3.2,True
2025-02-28,2025-05-27,2025-05-28,2025-06-27,6,18,55.56,0.63,True
2025-03-28,2025-06-27,2025-06-28,2025-07-27,27,13,69.23,2.31,True
2025-04-28,2025-07-27,2025-07-28,2025-08-27,40,13,30.77,-1.54,False
2025-07-28,2025-10-27,2025-10-28,2025-11-27,16,6,50.0,-1.86,False
2025-08-28,2025-11-27,2025-11-28,2025-12-27,9,6,33.33,-2.18,False
2025-09-28,2025-12-27,2025-12-28,2026-01-27,13,14,42.86,-0.25,False
2025-10-28,2026-01-27,2026-01-28,2026-02-27,26,7,0.0,-3.54,False
2025-12-28,2026-03-27,2026-03-28,2026-04-27,22,9,0.0,-2.95,False
2026-01-28,2026-04-27,2026-04-28,2026-05-27,9,9,55.56,0.36,True
2026-02-28,2026-05-27,2026-05-28,2026-06-27,9,13,30.77,-0.92,False
