train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-02-04,2024-05-03,2024-05-04,2024-06-03,21,12,58.33,1.99,True
2024-03-04,2024-06-03,2024-06-04,2024-07-03,25,6,0.0,-1.47,False
2024-04-04,2024-07-03,2024-07-04,2024-08-03,18,7,0.0,-1.17,False
2024-05-04,2024-08-03,2024-08-04,2024-09-03,25,15,46.67,0.72,True
2024-11-04,2025-02-03,2025-02-04,2025-03-03,2,7,28.57,-0.08,False
2025-02-04,2025-05-03,2025-05-04,2025-06-03,9,20,65.0,1.18,True
2025-03-04,2025-06-03,2025-06-04,2025-07-03,22,15,26.67,-0.56,False
2025-04-04,2025-07-03,2025-07-04,2025-08-03,35,6,33.33,-0.72,False
2025-05-04,2025-08-03,2025-08-04,2025-09-03,41,7,14.29,-0.59,False
2025-08-04,2025-11-03,2025-11-04,2025-12-03,7,11,27.27,-0.56,False
2025-09-04,2025-12-03,2025-12-04,2026-01-03,11,7,71.43,13.54,True
2025-10-04,2026-01-03,2026-01-04,2026-02-03,18,14,71.43,4.75,True
