train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-01-29,2024-04-28,2024-04-29,2024-05-28,23,8,37.5,-0.62,False
2024-02-29,2024-05-28,2024-05-29,2024-06-28,23,14,28.57,-0.82,False
2024-03-29,2024-06-28,2024-06-29,2024-07-28,34,6,0.0,-2.2,False
2024-04-29,2024-07-28,2024-07-29,2024-08-28,28,6,83.33,3.42,True
2024-05-29,2024-08-28,2024-08-29,2024-09-28,26,8,0.0,-2.41,False
2024-06-29,2024-09-28,2024-09-29,2024-10-28,20,5,0.0,-1.75,False
2024-07-29,2024-10-28,2024-10-29,2024-11-28,19,7,57.14,0.58,True
2024-08-29,2024-11-28,2024-11-29,2024-12-28,20,13,46.15,0.02,True
2024-10-29,2025-01-28,2025-01-29,2025-02-27,20,6,0.0,-1.74,False
2025-01-29,2025-04-28,2025-04-29,2025-05-28,10,8,100.0,7.18,True
2025-03-28,2025-06-27,2025-06-28,2025-07-27,4,6,100.0,3.8,True
2025-04-28,2025-07-27,2025-07-28,2025-08-27,10,10,100.0,4.14,True
2025-05-28,2025-08-27,2025-08-28,2025-09-27,20,14,57.14,1.22,True
2025-08-28,2025-11-27,2025-11-28,2025-12-27,8,6,33.33,-4.24,False
2025-09-28,2025-12-27,2025-12-28,2026-01-27,9,13,100.0,5.53,True
2025-10-28,2026-01-27,2026-01-28,2026-02-27,6,10,100.0,7.45,True
2025-11-28,2026-02-27,2026-02-28,2026-03-27,4,5,0.0,-4.69,False
2025-12-28,2026-03-27,2026-03-28,2026-04-27,28,10,50.0,-0.81,False
2026-01-28,2026-04-27,2026-04-28,2026-05-27,3,6,50.0,2.3,True
