train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-01-15,2024-04-14,2024-04-15,2024-05-14,6,10,90.0,4.24,True
2024-03-15,2024-06-14,2024-06-15,2024-07-14,6,11,72.73,3.87,True
2024-04-15,2024-07-14,2024-07-15,2024-08-14,23,9,55.56,-0.11,False
2024-05-15,2024-08-14,2024-08-15,2024-09-14,10,7,100.0,3.51,True
2024-09-15,2024-12-14,2024-12-15,2025-01-14,8,8,0.0,-0.99,False
2025-02-15,2025-05-14,2025-05-15,2025-06-14,6,5,80.0,2.87,True
2025-03-15,2025-06-14,2025-06-15,2025-07-14,4,8,75.0,2.47,True
2025-04-15,2025-07-14,2025-07-15,2025-08-14,16,14,92.86,3.64,True
2025-06-15,2025-09-14,2025-09-15,2025-10-14,6,8,0.0,-1.49,False
2025-08-15,2025-11-14,2025-11-15,2025-12-14,15,18,22.22,-1.91,False
2025-09-15,2025-12-14,2025-12-15,2026-01-14,13,12,58.33,6.15,True
2025-10-15,2026-01-14,2026-01-15,2026-02-14,7,6,83.33,8.1,True
2025-11-15,2026-02-14,2026-02-15,2026-03-14,6,8,25.0,-1.98,False
2025-12-15,2026-03-14,2026-03-15,2026-04-14,5,5,80.0,2.81,True
2026-02-15,2026-05-14,2026-05-15,2026-06-14,3,5,40.0,0.39,True
