train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-02-07,2024-05-06,2024-05-07,2024-06-06,6,6,50.0,1.57,True
2024-03-07,2024-06-06,2024-06-07,2024-07-06,5,5,0.0,-7.21,False
2024-04-07,2024-07-06,2024-07-07,2024-08-06,21,8,50.0,-3.09,False
2024-05-07,2024-08-06,2024-08-07,2024-09-06,9,7,42.86,-2.31,False
2024-06-07,2024-09-06,2024-09-07,2024-10-06,9,8,87.5,1.67,True
2024-09-07,2024-12-06,2024-12-07,2025-01-06,15,8,37.5,-0.69,False
2024-10-07,2025-01-06,2025-01-07,2025-02-06,7,10,60.0,1.35,True
2024-12-07,2025-03-06,2025-03-07,2025-04-06,12,10,10.0,-5.61,False
2025-01-07,2025-04-06,2025-04-07,2025-05-06,22,9,66.67,3.95,True
2025-03-07,2025-06-06,2025-06-07,2025-07-06,14,11,81.82,1.64,True
2025-04-07,2025-07-06,2025-07-07,2025-08-06,15,8,62.5,7.42,True
2025-05-07,2025-08-06,2025-08-07,2025-09-06,16,7,28.57,-3.1,False
2025-06-07,2025-09-06,2025-09-07,2025-10-06,12,8,75.0,2.42,True
2025-07-07,2025-10-06,2025-10-07,2025-11-06,23,14,28.57,-1.16,False
2025-08-07,2025-11-06,2025-11-07,2025-12-06,29,11,81.82,5.3,True
2025-09-07,2025-12-06,2025-12-07,2026-01-06,33,5,40.0,-0.33,False
2025-12-07,2026-03-06,2026-03-07,2026-04-06,12,8,100.0,4.97,True
2026-01-07,2026-04-06,2026-04-07,2026-05-06,7,11,36.36,0.41,True
2026-03-07,2026-06-06,2026-06-07,2026-07-06,4,8,12.5,-0.78,False
