train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-01-15,2024-04-14,2024-04-15,2024-05-14,8,8,100.0,4.27,True
2024-04-15,2024-07-14,2024-07-15,2024-08-14,9,6,66.67,-0.09,False
2024-09-15,2024-12-14,2024-12-15,2025-01-14,4,7,71.43,1.5,True
2024-11-15,2025-02-14,2025-02-15,2025-03-14,7,6,0.0,-4.22,False
2024-12-15,2025-03-14,2025-03-15,2025-04-14,7,5,100.0,9.7,True
2025-03-15,2025-06-14,2025-06-15,2025-07-14,5,6,100.0,2.95,True
2025-05-15,2025-08-14,2025-08-15,2025-09-14,6,10,40.0,-0.32,False
2025-06-15,2025-09-14,2025-09-15,2025-10-14,16,10,70.0,0.87,True
2025-10-15,2026-01-14,2026-01-15,2026-02-14,7,5,80.0,3.5,True
2026-01-15,2026-04-14,2026-04-15,2026-05-14,5,5,100.0,2.99,True
