train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-03-18,2024-06-17,2024-06-18,2024-07-17,9,11,18.18,-1.5,False
2024-07-18,2024-10-17,2024-10-18,2024-11-17,3,5,40.0,0.82,True
2024-12-18,2025-03-17,2025-03-18,2025-04-17,4,9,11.11,-5.49,False
2025-02-18,2025-05-17,2025-05-18,2025-06-17,12,5,80.0,6.21,True
2025-06-18,2025-09-17,2025-09-18,2025-10-17,8,12,0.0,-4.1,False
2025-07-18,2025-10-17,2025-10-18,2025-11-17,16,9,33.33,-1.09,False
2025-08-18,2025-11-17,2025-11-18,2025-12-17,18,7,42.86,0.9,True
2025-09-18,2025-12-17,2025-12-18,2026-01-17,16,9,44.44,1.06,True
2025-10-18,2026-01-17,2026-01-18,2026-02-17,13,5,60.0,2.28,True
2025-12-18,2026-03-17,2026-03-18,2026-04-17,12,6,33.33,0.67,True
2026-01-18,2026-04-17,2026-04-18,2026-05-17,9,5,60.0,1.6,True
2026-02-18,2026-05-17,2026-05-18,2026-06-17,11,5,0.0,-0.39,False
