train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2023-12-22,2024-02-21,2024-02-22,2024-03-21,3,14,35.71,-0.57,False
2024-01-22,2024-03-21,2024-03-22,2024-04-21,30,6,16.67,-3.32,False
2024-02-22,2024-04-21,2024-04-22,2024-05-21,20,4,50.0,1.77,True
2024-03-22,2024-05-21,2024-05-22,2024-06-21,4,5,20.0,-0.51,False
2024-04-22,2024-06-21,2024-06-22,2024-07-21,4,5,0.0,-2.43,False
2024-05-22,2024-07-21,2024-07-22,2024-08-21,10,5,80.0,5.13,True
2024-06-22,2024-08-21,2024-08-22,2024-09-21,10,13,61.54,1.44,True
2024-07-22,2024-09-21,2024-09-22,2024-10-21,4,12,41.67,-0.29,False
2024-09-22,2024-11-21,2024-11-22,2024-12-21,12,12,41.67,-0.11,False
2024-10-22,2024-12-21,2024-12-22,2025-01-21,12,3,66.67,0.8,True
2024-11-22,2025-01-21,2025-01-22,2025-02-21,15,17,94.12,2.32,True
2024-12-22,2025-02-21,2025-02-22,2025-03-21,20,9,55.56,-0.47,False
2025-02-22,2025-04-21,2025-04-22,2025-05-21,10,4,75.0,-0.79,False
2025-04-22,2025-06-21,2025-06-22,2025-07-21,6,5,100.0,10.77,True
2025-05-22,2025-07-21,2025-07-22,2025-08-21,7,6,50.0,-0.94,False
2025-07-22,2025-09-21,2025-09-22,2025-10-21,6,3,0.0,-5.17,False
2025-09-22,2025-11-21,2025-11-22,2025-12-21,3,4,25.0,-0.14,False
2025-10-22,2025-12-21,2025-12-22,2026-01-21,4,4,0.0,-7.88,False
2025-12-22,2026-02-21,2026-02-22,2026-03-21,4,7,28.57,-3.12,False
2026-01-22,2026-03-21,2026-03-22,2026-04-21,8,7,100.0,6.69,True
2026-02-22,2026-04-21,2026-04-22,2026-05-21,14,3,66.67,1.62,True
