train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-02-27,2024-05-26,2024-05-27,2024-06-26,11,5,0.0,-2.76,False
2024-03-27,2024-06-26,2024-06-27,2024-07-26,11,9,100.0,3.33,True
2024-06-27,2024-09-26,2024-09-27,2024-10-26,8,5,40.0,-0.76,False
2024-09-27,2024-12-26,2024-12-27,2025-01-26,8,5,0.0,-11.1,False
2024-10-27,2025-01-26,2025-01-27,2025-02-26,4,10,60.0,0.44,True
2024-11-27,2025-02-26,2025-02-27,2025-03-26,13,10,50.0,0.25,True
2025-01-27,2025-04-26,2025-04-27,2025-05-26,20,14,64.29,1.34,True
2025-02-27,2025-05-26,2025-05-27,2025-06-26,11,6,33.33,-0.64,False
2025-04-27,2025-07-26,2025-07-27,2025-08-26,11,14,100.0,6.61,True
2025-05-27,2025-08-26,2025-08-27,2025-09-26,10,8,12.5,-3.17,False
2025-06-27,2025-09-26,2025-09-27,2025-10-26,4,12,66.67,1.67,True
2025-09-27,2025-12-26,2025-12-27,2026-01-26,7,11,63.64,0.83,True
2025-10-27,2026-01-26,2026-01-27,2026-02-26,7,7,0.0,-5.46,False
2025-12-27,2026-03-26,2026-03-27,2026-04-26,19,6,50.0,0.65,True
2026-01-27,2026-04-26,2026-04-27,2026-05-26,7,7,100.0,2.6,True
