train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-04-15,2024-07-14,2024-07-15,2024-08-14,3,6,0.0,-6.1,False
2024-05-15,2024-08-14,2024-08-15,2024-09-14,3,8,50.0,0.04,True
2024-06-15,2024-09-14,2024-09-15,2024-10-14,3,16,37.5,-0.54,False
2024-07-15,2024-10-14,2024-10-15,2024-11-14,16,7,57.14,0.36,True
2024-08-15,2024-11-14,2024-11-15,2024-12-14,23,5,100.0,5.85,True
2024-10-15,2025-01-14,2025-01-15,2025-02-14,14,10,60.0,0.97,True
2024-11-15,2025-02-14,2025-02-15,2025-03-14,17,9,55.56,0.13,True
2025-03-15,2025-06-14,2025-06-15,2025-07-14,8,12,83.33,3.67,True
2025-04-15,2025-07-14,2025-07-15,2025-08-14,16,12,91.67,9.62,True
2025-05-15,2025-08-14,2025-08-15,2025-09-14,4,7,28.57,-0.69,False
2025-06-15,2025-09-14,2025-09-15,2025-10-14,4,20,70.0,2.94,True
2025-07-15,2025-10-14,2025-10-15,2025-11-14,3,9,22.22,-4.35,False
2025-10-15,2026-01-14,2026-01-15,2026-02-14,3,9,88.89,4.29,True
2025-11-15,2026-02-14,2026-02-15,2026-03-14,12,10,80.0,2.8,True
2025-12-15,2026-03-14,2026-03-15,2026-04-14,11,18,44.44,0.79,True
2026-01-15,2026-04-14,2026-04-15,2026-05-14,13,5,0.0,-5.59,False
2026-03-15,2026-06-14,2026-06-15,2026-07-14,7,6,16.67,-0.9,False
