train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-01-05,2024-04-04,2024-04-05,2024-05-04,13,11,72.73,4.75,True
2024-03-05,2024-06-04,2024-06-05,2024-07-04,8,5,100.0,5.83,True
2024-04-05,2024-07-04,2024-07-05,2024-08-04,7,15,33.33,-3.07,False
2024-05-05,2024-08-04,2024-08-05,2024-09-04,7,7,28.57,-1.66,False
2024-09-05,2024-12-04,2024-12-05,2025-01-04,9,13,30.77,-1.61,False
2024-10-05,2025-01-04,2025-01-05,2025-02-04,18,9,77.78,1.39,True
2025-01-05,2025-04-04,2025-04-05,2025-05-04,9,5,20.0,-0.25,False
2025-03-05,2025-06-04,2025-06-05,2025-07-04,5,7,85.71,3.82,True
2025-06-05,2025-09-04,2025-09-05,2025-10-04,11,11,63.64,2.92,True
2025-07-05,2025-10-04,2025-10-05,2025-11-04,4,5,0.0,-12.98,False
2025-08-05,2025-11-04,2025-11-05,2025-12-04,4,10,10.0,-1.4,False
2025-09-05,2025-12-04,2025-12-05,2026-01-04,10,7,0.0,-3.66,False
2025-10-05,2026-01-04,2026-01-05,2026-02-04,17,6,16.67,-2.76,False
2025-11-05,2026-02-04,2026-02-05,2026-03-04,23,8,62.5,3.87,True
2025-12-05,2026-03-04,2026-03-05,2026-04-04,21,11,72.73,6.37,True
2026-01-05,2026-04-04,2026-04-05,2026-05-04,14,7,14.29,-0.75,False
2026-02-05,2026-05-04,2026-05-05,2026-06-04,10,5,20.0,-5.02,False
