train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-01-15,2024-04-14,2024-04-15,2024-05-14,14,7,57.14,-1.28,False
2024-03-15,2024-06-14,2024-06-15,2024-07-14,7,8,37.5,-1.02,False
2024-04-15,2024-07-14,2024-07-15,2024-08-14,10,9,22.22,-1.27,False
2024-07-15,2024-10-14,2024-10-15,2024-11-14,13,13,7.69,-2.86,False
2024-08-15,2024-11-14,2024-11-15,2024-12-14,13,8,100.0,2.23,True
2024-12-15,2025-03-14,2025-03-15,2025-04-14,3,5,0.0,-4.88,False
2025-07-15,2025-10-14,2025-10-15,2025-11-14,4,14,7.14,-3.36,False
2025-09-15,2025-12-14,2025-12-15,2026-01-14,14,14,42.86,-1.19,False
2025-10-15,2026-01-14,2026-01-15,2026-02-14,28,10,60.0,0.92,True
2025-11-15,2026-02-14,2026-02-15,2026-03-14,24,5,60.0,3.47,True
2025-12-15,2026-03-14,2026-03-15,2026-04-14,29,5,100.0,8.26,True
2026-02-15,2026-05-14,2026-05-15,2026-06-14,9,10,20.0,-0.84,False
