train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-02-07,2024-05-06,2024-05-07,2024-06-06,16,8,87.5,1.43,True
2024-03-07,2024-06-06,2024-06-07,2024-07-06,15,7,14.29,-0.95,False
2024-04-07,2024-07-06,2024-07-07,2024-08-06,11,7,0.0,-2.12,False
2024-05-07,2024-08-06,2024-08-07,2024-09-06,14,10,20.0,-1.3,False
2024-06-07,2024-09-06,2024-09-07,2024-10-06,24,5,60.0,0.67,True
2024-07-07,2024-10-06,2024-10-07,2024-11-06,22,8,62.5,0.52,True
2024-08-07,2024-11-06,2024-11-07,2024-12-06,23,10,70.0,1.09,True
2024-09-07,2024-12-06,2024-12-07,2025-01-06,23,7,28.57,-1.32,False
2024-10-07,2025-01-06,2025-01-07,2025-02-06,25,5,60.0,-0.23,False
2024-11-07,2025-02-06,2025-02-07,2025-03-06,22,10,100.0,3.83,True
2024-12-07,2025-03-06,2025-03-07,2025-04-06,22,6,0.0,-3.97,False
2025-01-07,2025-04-06,2025-04-07,2025-05-06,21,10,60.0,0.04,True
2025-02-07,2025-05-06,2025-05-07,2025-06-06,16,9,88.89,1.43,True
2025-04-07,2025-07-06,2025-07-07,2025-08-06,9,6,100.0,9.27,True
2025-05-07,2025-08-06,2025-08-07,2025-09-06,9,7,100.0,6.02,True
2025-07-07,2025-10-06,2025-10-07,2025-11-06,4,7,0.0,-5.39,False
2025-08-07,2025-11-06,2025-11-07,2025-12-06,11,15,46.67,0.15,True
2025-09-07,2025-12-06,2025-12-07,2026-01-06,26,14,42.86,0.49,True
2025-10-07,2026-01-06,2026-01-07,2026-02-06,36,11,72.73,1.64,True
2025-11-07,2026-02-06,2026-02-07,2026-03-06,40,9,55.56,3.11,True
2026-02-07,2026-05-06,2026-05-07,2026-06-06,17,7,0.0,-2.11,False
2026-03-07,2026-06-06,2026-06-07,2026-07-06,15,7,28.57,-1.06,False
