train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-03-18,2024-06-17,2024-06-18,2024-07-17,12,11,36.36,-0.8,False
2024-05-18,2024-08-17,2024-08-18,2024-09-17,14,5,0.0,-3.66,False
2024-06-18,2024-09-17,2024-09-18,2024-10-17,17,6,50.0,0.74,True
2024-08-18,2024-11-17,2024-11-18,2024-12-17,12,6,33.33,-0.9,False
2024-09-18,2024-12-17,2024-12-18,2025-01-17,13,8,12.5,-2.1,False
2024-10-18,2025-01-17,2025-01-18,2025-02-17,15,5,0.0,-5.45,False
2024-11-18,2025-02-17,2025-02-18,2025-03-17,19,8,87.5,3.98,True
2025-01-18,2025-04-17,2025-04-18,2025-05-17,14,6,100.0,7.69,True
2025-02-18,2025-05-17,2025-05-18,2025-06-17,9,6,50.0,-0.15,False
2025-03-18,2025-06-17,2025-06-18,2025-07-17,7,12,66.67,1.82,True
2025-04-18,2025-07-17,2025-07-18,2025-08-17,18,10,60.0,1.67,True
2025-05-18,2025-08-17,2025-08-18,2025-09-17,28,9,33.33,-0.34,False
2025-06-18,2025-09-17,2025-09-18,2025-10-17,31,9,33.33,-2.71,False
2025-07-18,2025-10-17,2025-10-18,2025-11-17,21,6,83.33,0.9,True
2025-09-18,2025-12-17,2025-12-18,2026-01-17,8,7,71.43,3.17,True
2025-10-18,2026-01-17,2026-01-18,2026-02-17,13,10,10.0,-1.84,False
2025-11-18,2026-02-17,2026-02-18,2026-03-17,21,6,0.0,-6.98,False
2025-12-18,2026-03-17,2026-03-18,2026-04-17,23,7,71.43,2.32,True
2026-01-18,2026-04-17,2026-04-18,2026-05-17,23,13,30.77,-0.49,False
2026-02-18,2026-05-17,2026-05-18,2026-06-17,15,8,12.5,-2.81,False
