train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-01-18,2024-04-17,2024-04-18,2024-05-17,6,5,100.0,3.54,True
2024-03-18,2024-06-17,2024-06-18,2024-07-17,8,8,75.0,1.5,True
2024-04-18,2024-07-17,2024-07-18,2024-08-17,10,14,64.29,2.13,True
2024-09-18,2024-12-17,2024-12-18,2025-01-17,10,12,25.0,-3.37,False
2024-12-18,2025-03-17,2025-03-18,2025-04-17,6,13,7.69,-8.7,False
2025-06-18,2025-09-17,2025-09-18,2025-10-17,6,7,14.29,-4.95,False
2025-07-18,2025-10-17,2025-10-18,2025-11-17,11,6,16.67,-1.61,False
2025-08-18,2025-11-17,2025-11-18,2025-12-17,17,7,0.0,-1.88,False
2025-09-18,2025-12-17,2025-12-18,2026-01-17,15,10,50.0,0.04,True
2025-12-18,2026-03-17,2026-03-18,2026-04-17,6,11,36.36,0.01,True
