train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-01-11,2024-04-10,2024-04-11,2024-05-10,6,5,0.0,-3.62,False
2024-03-11,2024-06-10,2024-06-11,2024-07-10,11,9,88.89,1.49,True
2024-04-11,2024-07-10,2024-07-11,2024-08-10,14,6,50.0,-0.25,False
2024-07-11,2024-10-10,2024-10-11,2024-11-10,8,5,80.0,0.7,True
2024-10-11,2025-01-10,2025-01-11,2025-02-10,6,5,60.0,1.79,True
2025-03-11,2025-06-10,2025-06-11,2025-07-10,3,6,100.0,1.31,True
2025-06-11,2025-09-10,2025-09-11,2025-10-10,6,5,100.0,5.22,True
2025-07-11,2025-10-10,2025-10-11,2025-11-10,5,10,60.0,0.49,True
2025-08-11,2025-11-10,2025-11-11,2025-12-10,15,6,16.67,-5.18,False
2025-09-11,2025-12-10,2025-12-11,2026-01-10,6,6,0.0,-1.58,False
2025-11-11,2026-02-10,2026-02-11,2026-03-10,16,5,40.0,-1.98,False
2026-01-11,2026-04-10,2026-04-11,2026-05-10,12,5,0.0,-1.22,False
2026-02-11,2026-05-10,2026-05-11,2026-06-10,13,10,0.0,-1.66,False
