train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-03-29,2024-06-28,2024-06-29,2024-07-28,9,7,14.29,-1.27,False
2024-04-29,2024-07-28,2024-07-29,2024-08-28,8,5,20.0,-2.19,False
2024-05-29,2024-08-28,2024-08-29,2024-09-28,13,5,60.0,1.19,True
2024-06-29,2024-09-28,2024-09-29,2024-10-28,13,5,40.0,0.21,True
2024-07-29,2024-10-28,2024-10-29,2024-11-28,11,9,22.22,-0.69,False
2025-06-28,2025-09-27,2025-09-28,2025-10-27,4,11,63.64,-0.41,False
2025-07-28,2025-10-27,2025-10-28,2025-11-27,15,5,80.0,2.51,True
2025-10-28,2026-01-27,2026-01-28,2026-02-27,10,9,33.33,-0.13,False
2025-11-28,2026-02-27,2026-02-28,2026-03-27,7,12,25.0,-1.68,False
2025-12-28,2026-03-27,2026-03-28,2026-04-27,18,6,33.33,-1.21,False
