train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2023-12-18,2024-02-17,2024-02-18,2024-03-17,12,7,71.43,1.82,True
2024-01-18,2024-03-17,2024-03-18,2024-04-17,14,10,40.0,0.02,True
2024-02-18,2024-04-17,2024-04-18,2024-05-17,17,4,100.0,2.62,True
2024-03-18,2024-05-17,2024-05-18,2024-06-17,12,8,25.0,-1.61,False
2024-06-18,2024-08-17,2024-08-18,2024-09-17,2,4,0.0,-1.96,False
2024-07-18,2024-09-17,2024-09-18,2024-10-17,4,12,33.33,-0.0,False
2024-08-18,2024-10-17,2024-10-18,2024-11-17,6,4,75.0,3.71,True
2024-09-18,2024-11-17,2024-11-18,2024-12-17,6,9,55.56,1.25,True
2024-10-18,2024-12-17,2024-12-18,2025-01-17,13,6,83.33,4.19,True
2024-11-18,2025-01-17,2025-01-18,2025-02-17,15,5,40.0,-0.17,False
2024-12-18,2025-02-17,2025-02-18,2025-03-17,11,12,50.0,-0.34,False
2025-01-18,2025-03-17,2025-03-18,2025-04-17,17,8,25.0,-10.23,False
2025-02-18,2025-04-17,2025-04-18,2025-05-17,14,3,100.0,7.09,True
2025-03-18,2025-05-17,2025-05-18,2025-06-17,11,3,0.0,-4.83,False
2025-04-18,2025-06-17,2025-06-18,2025-07-17,3,13,100.0,2.69,True
2025-06-18,2025-08-17,2025-08-18,2025-09-17,15,5,0.0,-4.14,False
2025-07-18,2025-09-17,2025-09-18,2025-10-17,7,6,33.33,-3.51,False
2025-08-18,2025-10-17,2025-10-18,2025-11-17,11,10,50.0,-0.43,False
2025-09-18,2025-11-17,2025-11-18,2025-12-17,12,9,33.33,-1.9,False
2025-10-18,2025-12-17,2025-12-18,2026-01-17,19,8,75.0,1.76,True
2025-11-18,2026-01-17,2026-01-18,2026-02-17,17,4,0.0,-4.73,False
2025-12-18,2026-02-17,2026-02-18,2026-03-17,12,5,20.0,-5.51,False
2026-01-18,2026-03-17,2026-03-18,2026-04-17,9,9,66.67,3.57,True
