train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-01-29,2024-04-28,2024-04-29,2024-05-28,8,5,100.0,1.96,True
2024-02-29,2024-05-28,2024-05-29,2024-06-28,10,7,14.29,-4.07,False
2024-07-29,2024-10-28,2024-10-29,2024-11-28,11,6,16.67,-0.12,False
2024-08-29,2024-11-28,2024-11-29,2024-12-28,13,7,85.71,9.95,True
2024-09-29,2024-12-28,2024-12-29,2025-01-28,12,7,14.29,-0.32,False
2024-10-29,2025-01-28,2025-01-29,2025-02-27,9,6,33.33,-0.39,False
2025-01-29,2025-04-28,2025-04-29,2025-05-28,9,8,0.0,-0.87,False
2025-02-28,2025-05-27,2025-05-28,2025-06-27,11,5,20.0,-1.32,False
2025-03-28,2025-06-27,2025-06-28,2025-07-27,11,7,42.86,-0.11,False
2025-04-28,2025-07-27,2025-07-28,2025-08-27,8,7,14.29,-0.83,False
2025-06-28,2025-09-27,2025-09-28,2025-10-27,6,7,0.0,-0.71,False
2025-07-28,2025-10-27,2025-10-28,2025-11-27,13,11,72.73,-0.11,False
2025-08-28,2025-11-27,2025-11-28,2025-12-27,22,7,14.29,-0.57,False
2025-09-28,2025-12-27,2025-12-28,2026-01-27,25,7,28.57,0.32,True
2026-01-28,2026-04-27,2026-04-28,2026-05-27,5,10,60.0,1.6,True
