train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-02-02,2024-05-01,2024-05-02,2024-06-01,11,6,100.0,3.22,True
2024-03-02,2024-06-01,2024-06-02,2024-07-01,10,16,62.5,0.95,True
2024-04-02,2024-07-01,2024-07-02,2024-08-01,25,11,18.18,-2.25,False
2024-05-02,2024-08-01,2024-08-02,2024-09-01,33,5,100.0,3.44,True
2024-06-02,2024-09-01,2024-09-02,2024-10-01,32,9,100.0,2.03,True
2024-08-02,2024-11-01,2024-11-02,2024-12-01,18,8,37.5,-1.06,False
2025-02-02,2025-05-01,2025-05-02,2025-06-01,7,15,93.33,2.63,True
2025-03-02,2025-06-01,2025-06-02,2025-07-01,4,12,41.67,-0.09,False
2025-04-02,2025-07-01,2025-07-02,2025-08-01,13,9,100.0,3.8,True
2025-06-02,2025-09-01,2025-09-02,2025-10-01,22,10,10.0,-3.54,False
2025-09-02,2025-12-01,2025-12-02,2026-01-01,10,7,0.0,-4.67,False
2025-12-02,2026-03-01,2026-03-02,2026-04-01,8,7,0.0,-5.06,False
2026-01-02,2026-04-01,2026-04-02,2026-05-01,13,11,27.27,-2.01,False
2026-03-02,2026-06-01,2026-06-02,2026-07-01,18,5,20.0,-3.32,False
