train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-01-18,2024-04-17,2024-04-18,2024-05-17,5,8,100.0,6.96,True
2024-04-18,2024-07-17,2024-07-18,2024-08-17,9,11,45.45,0.87,True
2024-06-18,2024-09-17,2024-09-18,2024-10-17,8,14,0.0,-2.06,False
2024-09-18,2024-12-17,2024-12-18,2025-01-17,19,7,14.29,-1.69,False
2024-11-18,2025-02-17,2025-02-18,2025-03-17,5,6,33.33,-0.55,False
2024-12-18,2025-03-17,2025-03-18,2025-04-17,6,6,33.33,-7.76,False
2025-03-18,2025-06-17,2025-06-18,2025-07-17,6,7,71.43,2.12,True
2025-04-18,2025-07-17,2025-07-18,2025-08-17,10,5,60.0,0.68,True
2025-05-18,2025-08-17,2025-08-18,2025-09-17,5,13,46.15,0.09,True
2025-06-18,2025-09-17,2025-09-18,2025-10-17,5,14,35.71,-1.75,False
2025-09-18,2025-12-17,2025-12-18,2026-01-17,21,5,80.0,5.04,True
2025-11-18,2026-02-17,2026-02-18,2026-03-17,8,11,27.27,-2.6,False
2025-12-18,2026-03-17,2026-03-18,2026-04-17,5,12,91.67,2.48,True
2026-01-18,2026-04-17,2026-04-18,2026-05-17,23,7,57.14,-0.02,False
2026-02-18,2026-05-17,2026-05-18,2026-06-17,7,5,0.0,-1.93,False
