train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-03-07,2024-06-06,2024-06-07,2024-07-06,4,5,80.0,4.97,True
2024-06-07,2024-09-06,2024-09-07,2024-10-06,10,11,18.18,-1.9,False
2024-07-07,2024-10-06,2024-10-07,2024-11-06,16,9,44.44,-1.67,False
2024-09-07,2024-12-06,2024-12-07,2025-01-06,23,7,42.86,-2.22,False
2025-01-07,2025-04-06,2025-04-07,2025-05-06,8,8,87.5,4.28,True
2025-04-07,2025-07-06,2025-07-07,2025-08-06,4,5,100.0,6.92,True
2025-05-07,2025-08-06,2025-08-07,2025-09-06,9,10,40.0,2.43,True
2025-07-07,2025-10-06,2025-10-07,2025-11-06,11,5,40.0,-0.35,False
2025-08-07,2025-11-06,2025-11-07,2025-12-06,11,5,80.0,2.66,True
2025-10-07,2026-01-06,2026-01-07,2026-02-06,14,7,71.43,2.86,True
2025-11-07,2026-02-06,2026-02-07,2026-03-06,16,7,14.29,-6.15,False
2025-12-07,2026-03-06,2026-03-07,2026-04-06,13,13,15.38,-2.46,False
2026-01-07,2026-04-06,2026-04-07,2026-05-06,10,9,66.67,1.95,True
2026-03-07,2026-06-06,2026-06-07,2026-07-06,5,8,87.5,1.68,True
