train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-02-29,2024-05-28,2024-05-29,2024-06-28,3,7,71.43,0.42,True
2024-04-29,2024-07-28,2024-07-29,2024-08-28,10,12,66.67,-0.14,False
2024-05-29,2024-08-28,2024-08-29,2024-09-28,11,5,100.0,2.23,True
2024-08-29,2024-11-28,2024-11-29,2024-12-28,10,7,0.0,-4.26,False
2024-09-29,2024-12-28,2024-12-29,2025-01-28,12,7,42.86,0.36,True
2024-12-29,2025-03-28,2025-03-29,2025-04-28,3,12,50.0,1.37,True
2025-02-28,2025-05-27,2025-05-28,2025-06-27,15,14,42.86,-0.29,False
2025-08-28,2025-11-27,2025-11-28,2025-12-27,3,7,28.57,-0.19,False
2025-09-28,2025-12-27,2025-12-28,2026-01-27,3,12,16.67,-0.92,False
2025-10-28,2026-01-27,2026-01-28,2026-02-27,12,11,36.36,-0.05,False
2025-11-28,2026-02-27,2026-02-28,2026-03-27,23,5,60.0,-0.44,False
2025-12-28,2026-03-27,2026-03-28,2026-04-27,28,7,28.57,-0.36,False
2026-01-28,2026-04-27,2026-04-28,2026-05-27,18,7,57.14,0.01,True
2026-02-28,2026-05-27,2026-05-28,2026-06-27,14,5,20.0,-0.68,False
