train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-03-07,2024-06-06,2024-06-07,2024-07-06,6,7,71.43,0.72,True
2024-05-07,2024-08-06,2024-08-07,2024-09-06,10,5,100.0,2.35,True
2024-06-07,2024-09-06,2024-09-07,2024-10-06,10,7,85.71,2.37,True
2024-08-07,2024-11-06,2024-11-07,2024-12-06,10,10,70.0,-0.47,False
2024-09-07,2024-12-06,2024-12-07,2025-01-06,11,7,28.57,-2.42,False
2024-10-07,2025-01-06,2025-01-07,2025-02-06,11,8,50.0,0.93,True
2024-12-07,2025-03-06,2025-03-07,2025-04-06,19,10,10.0,-7.16,False
2025-06-07,2025-09-06,2025-09-07,2025-10-06,8,7,14.29,-3.71,False
2025-08-07,2025-11-06,2025-11-07,2025-12-06,7,7,0.0,-1.92,False
2025-10-07,2026-01-06,2026-01-07,2026-02-06,14,9,55.56,1.7,True
2025-11-07,2026-02-06,2026-02-07,2026-03-06,20,7,57.14,1.26,True
2025-12-07,2026-03-06,2026-03-07,2026-04-06,20,11,45.45,0.33,True
2026-01-07,2026-04-06,2026-04-07,2026-05-06,18,5,20.0,0.26,True
2026-02-07,2026-05-06,2026-05-07,2026-06-06,11,10,0.0,-1.87,False
2026-03-07,2026-06-06,2026-06-07,2026-07-06,14,7,42.86,-0.1,False
