train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-02-02,2024-05-01,2024-05-02,2024-06-01,16,9,77.78,2.51,True
2024-03-02,2024-06-01,2024-06-02,2024-07-01,11,7,14.29,-2.81,False
2024-04-02,2024-07-01,2024-07-02,2024-08-01,8,5,20.0,-0.52,False
2024-06-02,2024-09-01,2024-09-02,2024-10-01,10,8,62.5,0.1,True
2024-08-02,2024-11-01,2024-11-02,2024-12-01,13,9,11.11,-3.08,False
2024-09-02,2024-12-01,2024-12-02,2025-01-01,11,7,0.0,-2.48,False
2024-11-02,2025-02-01,2025-02-02,2025-03-01,3,7,0.0,-4.98,False
2024-12-02,2025-03-01,2025-03-02,2025-04-01,8,12,50.0,-3.07,False
2025-04-02,2025-07-01,2025-07-02,2025-08-01,5,13,69.23,1.41,True
2025-05-02,2025-08-01,2025-08-02,2025-09-01,17,7,100.0,6.66,True
2025-06-02,2025-09-01,2025-09-02,2025-10-01,24,6,0.0,-5.26,False
2025-07-02,2025-10-01,2025-10-02,2025-11-01,20,11,54.55,1.1,True
2025-08-02,2025-11-01,2025-11-02,2025-12-01,18,5,0.0,-3.23,False
2025-10-02,2026-01-01,2026-01-02,2026-02-01,16,8,25.0,-3.72,False
2025-11-02,2026-02-01,2026-02-02,2026-03-01,6,5,0.0,-6.87,False
2025-12-02,2026-03-01,2026-03-02,2026-04-01,3,12,66.67,1.38,True
2026-01-02,2026-04-01,2026-04-02,2026-05-01,5,7,28.57,0.13,True
2026-03-02,2026-06-01,2026-06-02,2026-07-01,12,6,66.67,1.31,True
