train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2023-12-20,2024-02-19,2024-02-20,2024-03-19,12,17,35.29,-0.15,False
2024-02-20,2024-04-19,2024-04-20,2024-05-19,17,3,66.67,1.04,True
2024-03-20,2024-05-19,2024-05-20,2024-06-19,3,13,69.23,1.81,True
2024-04-20,2024-06-19,2024-06-20,2024-07-19,4,5,20.0,-2.53,False
2024-05-20,2024-07-19,2024-07-20,2024-08-19,6,12,58.33,3.8,True
2024-06-20,2024-08-19,2024-08-20,2024-09-19,17,12,33.33,-1.49,False
2024-08-20,2024-10-19,2024-10-20,2024-11-19,13,4,0.0,-2.45,False
2024-09-20,2024-11-19,2024-11-20,2024-12-19,5,4,100.0,1.92,True
2024-10-20,2024-12-19,2024-12-20,2025-01-19,5,8,25.0,-2.23,False
2024-11-20,2025-01-19,2025-01-20,2025-02-19,6,13,69.23,1.88,True
2024-12-20,2025-02-19,2025-02-20,2025-03-19,3,7,28.57,-1.59,False
2025-01-20,2025-03-19,2025-03-20,2025-04-19,8,7,14.29,-3.36,False
2025-02-20,2025-04-19,2025-04-20,2025-05-19,7,3,100.0,3.52,True
2025-03-20,2025-05-19,2025-05-20,2025-06-19,3,4,0.0,-3.13,False
2025-04-20,2025-06-19,2025-06-20,2025-07-19,7,3,66.67,-0.26,False
2025-05-20,2025-07-19,2025-07-20,2025-08-19,7,7,14.29,-3.56,False
2025-06-20,2025-08-19,2025-08-20,2025-09-19,4,7,42.86,-1.66,False
2025-07-20,2025-09-19,2025-09-20,2025-10-19,3,6,66.67,1.2,True
2025-08-20,2025-10-19,2025-10-20,2025-11-19,13,10,20.0,-1.66,False
2025-09-20,2025-11-19,2025-11-20,2025-12-19,16,17,41.18,-0.26,False
2025-10-20,2025-12-19,2025-12-20,2026-01-19,27,10,50.0,2.84,True
2025-12-20,2026-02-19,2026-02-20,2026-03-19,11,5,20.0,-1.37,False
2026-01-20,2026-03-19,2026-03-20,2026-04-19,6,5,100.0,4.07,True
2026-02-20,2026-04-19,2026-04-20,2026-05-19,5,4,100.0,3.91,True
