train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2023-12-28,2024-03-27,2024-03-28,2024-04-27,11,7,42.86,-1.56,False
2024-01-28,2024-04-27,2024-04-28,2024-05-27,17,5,40.0,-0.04,False
2024-03-28,2024-06-27,2024-06-28,2024-07-27,16,6,50.0,0.08,True
2024-04-28,2024-07-27,2024-07-28,2024-08-27,15,6,66.67,1.08,True
2024-05-28,2024-08-27,2024-08-28,2024-09-27,16,8,62.5,0.47,True
2024-07-28,2024-10-27,2024-10-28,2024-11-27,14,8,75.0,-0.18,False
2024-09-28,2024-12-27,2024-12-28,2025-01-27,11,9,88.89,2.83,True
2024-11-28,2025-02-27,2025-02-28,2025-03-27,9,6,33.33,-0.8,False
2024-12-28,2025-03-27,2025-03-28,2025-04-27,15,13,23.08,-2.05,False
2025-06-28,2025-09-27,2025-09-28,2025-10-27,4,10,90.0,2.91,True
2025-07-28,2025-10-27,2025-10-28,2025-11-27,14,8,0.0,-0.86,False
2025-08-28,2025-11-27,2025-11-28,2025-12-27,10,10,60.0,0.4,True
2025-10-28,2026-01-27,2026-01-28,2026-02-27,22,5,80.0,0.01,True
2025-11-28,2026-02-27,2026-02-28,2026-03-27,19,14,57.14,-0.74,False
2026-01-28,2026-04-27,2026-04-28,2026-05-27,19,6,33.33,0.23,True
