train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-01-27,2024-04-26,2024-04-27,2024-05-26,12,6,83.33,3.08,True
2024-03-27,2024-06-26,2024-06-27,2024-07-26,7,9,22.22,-0.72,False
2024-04-27,2024-07-26,2024-07-27,2024-08-26,13,13,61.54,0.97,True
2024-05-27,2024-08-26,2024-08-27,2024-09-26,25,8,37.5,1.36,True
2024-06-27,2024-09-26,2024-09-27,2024-10-26,30,6,33.33,0.48,True
2024-07-27,2024-10-26,2024-10-27,2024-11-26,22,9,11.11,-3.61,False
2024-09-27,2024-12-26,2024-12-27,2025-01-26,13,8,50.0,-0.03,False
2024-10-27,2025-01-26,2025-01-27,2025-02-26,20,9,100.0,2.87,True
2024-11-27,2025-02-26,2025-02-27,2025-03-26,13,6,16.67,-3.37,False
2025-01-27,2025-04-26,2025-04-27,2025-05-26,3,7,100.0,3.13,True
2025-02-27,2025-05-26,2025-05-27,2025-06-26,13,8,87.5,3.84,True
2025-03-27,2025-06-26,2025-06-27,2025-07-26,8,7,100.0,7.26,True
2025-05-27,2025-08-26,2025-08-27,2025-09-26,10,5,20.0,-1.96,False
2025-07-27,2025-10-26,2025-10-27,2025-11-26,3,13,15.38,-3.58,False
2025-08-27,2025-11-26,2025-11-27,2025-12-26,4,10,20.0,-0.99,False
2025-09-27,2025-12-26,2025-12-27,2026-01-26,14,12,66.67,2.73,True
2025-10-27,2026-01-26,2026-01-27,2026-02-26,23,12,66.67,1.98,True
