train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2023-12-29,2024-03-28,2024-03-29,2024-04-28,13,6,16.67,-5.07,False
2024-03-29,2024-06-28,2024-06-29,2024-07-28,4,13,53.85,-1.01,False
2024-05-29,2024-08-28,2024-08-29,2024-09-28,5,5,0.0,-4.01,False
2024-06-29,2024-09-28,2024-09-29,2024-10-28,7,12,58.33,1.82,True
2024-07-29,2024-10-28,2024-10-29,2024-11-28,17,8,25.0,-3.67,False
2024-08-29,2024-11-28,2024-11-29,2024-12-28,22,15,46.67,-0.14,False
2024-09-29,2024-12-28,2024-12-29,2025-01-28,35,5,0.0,-6.79,False
2024-10-29,2025-01-28,2025-01-29,2025-02-27,28,8,50.0,1.32,True
2024-11-29,2025-02-27,2025-02-28,2025-03-27,28,6,16.67,-2.43,False
2025-02-28,2025-05-27,2025-05-28,2025-06-27,6,9,66.67,0.71,True
2025-06-28,2025-09-27,2025-09-28,2025-10-27,3,7,57.14,0.94,True
2025-07-28,2025-10-27,2025-10-28,2025-11-27,7,11,72.73,3.27,True
2025-08-28,2025-11-27,2025-11-28,2025-12-27,8,13,53.85,-0.5,False
2025-09-28,2025-12-27,2025-12-28,2026-01-27,9,9,11.11,-5.13,False
2025-10-28,2026-01-27,2026-01-28,2026-02-27,3,12,66.67,4.43,True
2025-11-28,2026-02-27,2026-02-28,2026-03-27,34,9,100.0,10.11,True
2025-12-28,2026-03-27,2026-03-28,2026-04-27,30,10,10.0,-1.19,False
2026-01-28,2026-04-27,2026-04-28,2026-05-27,31,8,50.0,-0.2,False
