train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-03-02,2024-06-01,2024-06-02,2024-07-01,3,7,57.14,8.67,True
2024-04-02,2024-07-01,2024-07-02,2024-08-01,3,9,33.33,-2.89,False
2024-05-02,2024-08-01,2024-08-02,2024-09-01,4,9,44.44,0.71,True
2024-06-02,2024-09-01,2024-09-02,2024-10-01,25,6,0.0,-2.38,False
2024-07-02,2024-10-01,2024-10-02,2024-11-01,4,10,90.0,3.68,True
2024-08-02,2024-11-01,2024-11-02,2024-12-01,3,7,100.0,9.45,True
2024-09-02,2024-12-01,2024-12-02,2025-01-01,23,13,92.31,4.87,True
2024-10-02,2025-01-01,2025-01-02,2025-02-01,30,9,66.67,5.26,True
2024-11-02,2025-02-01,2025-02-02,2025-03-01,29,5,0.0,-9.07,False
2024-12-02,2025-03-01,2025-03-02,2025-04-01,27,11,9.09,-8.07,False
2025-02-02,2025-05-01,2025-05-02,2025-06-01,16,15,73.33,2.5,True
2025-04-02,2025-07-01,2025-07-02,2025-08-01,4,12,83.33,1.89,True
2025-06-02,2025-09-01,2025-09-02,2025-10-01,4,6,0.0,-1.46,False
2025-08-02,2025-11-01,2025-11-02,2025-12-01,10,12,58.33,-0.66,False
2025-10-02,2026-01-01,2026-01-02,2026-02-01,16,11,63.64,6.11,True
2025-11-02,2026-02-01,2026-02-02,2026-03-01,23,12,50.0,-0.03,False
2025-12-02,2026-03-01,2026-03-02,2026-04-01,23,7,0.0,-10.11,False
2026-01-02,2026-04-01,2026-04-02,2026-05-01,4,14,78.57,3.08,True
2026-03-02,2026-06-01,2026-06-02,2026-07-01,5,9,100.0,1.64,True
