train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2023-12-27,2024-03-26,2024-03-27,2024-04-26,14,10,20.0,-0.48,False
2024-02-27,2024-05-26,2024-05-27,2024-06-26,13,5,80.0,1.51,True
2024-03-27,2024-06-26,2024-06-27,2024-07-26,17,5,100.0,10.04,True
2024-05-27,2024-08-26,2024-08-27,2024-09-26,14,7,0.0,-1.99,False
2024-06-27,2024-09-26,2024-09-27,2024-10-26,9,5,60.0,-0.47,False
2024-07-27,2024-10-26,2024-10-27,2024-11-26,14,6,50.0,-0.61,False
2024-08-27,2024-11-26,2024-11-27,2024-12-26,18,10,40.0,-0.51,False
2024-09-27,2024-12-26,2024-12-27,2025-01-26,11,8,75.0,2.4,True
2024-11-27,2025-02-26,2025-02-27,2025-03-26,18,5,0.0,-0.87,False
2024-12-27,2025-03-26,2025-03-27,2025-04-26,6,12,41.67,-1.91,False
2025-03-27,2025-06-26,2025-06-27,2025-07-26,16,6,50.0,0.42,True
2025-05-27,2025-08-26,2025-08-27,2025-09-26,9,10,10.0,-2.16,False
2025-06-27,2025-09-26,2025-09-27,2025-10-26,19,6,0.0,-1.63,False
2025-07-27,2025-10-26,2025-10-27,2025-11-26,19,7,71.43,1.57,True
2025-10-27,2026-01-26,2026-01-27,2026-02-26,11,8,87.5,9.76,True
2025-12-27,2026-03-26,2026-03-27,2026-04-26,9,7,14.29,-2.13,False
2026-01-27,2026-04-26,2026-04-27,2026-05-26,7,5,100.0,8.77,True
