train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-02-29,2024-05-28,2024-05-29,2024-06-28,4,7,100.0,1.69,True
2024-05-29,2024-08-28,2024-08-29,2024-09-28,7,7,42.86,-0.1,False
2024-06-29,2024-09-28,2024-09-29,2024-10-28,7,13,30.77,0.04,True
2024-11-29,2025-02-27,2025-02-28,2025-03-27,7,6,0.0,-4.69,False
2024-12-29,2025-03-28,2025-03-29,2025-04-28,13,6,0.0,-13.0,False
2025-02-28,2025-05-27,2025-05-28,2025-06-27,8,6,50.0,2.2,True
2025-06-28,2025-09-27,2025-09-28,2025-10-27,4,5,100.0,3.27,True
2025-07-28,2025-10-27,2025-10-28,2025-11-27,6,6,66.67,2.05,True
2025-11-28,2026-02-27,2026-02-28,2026-03-27,2,6,50.0,0.53,True
2025-12-28,2026-03-27,2026-03-28,2026-04-27,8,7,71.43,1.2,True
2026-01-28,2026-04-27,2026-04-28,2026-05-27,3,12,58.33,-0.95,False
2026-02-28,2026-05-27,2026-05-28,2026-06-27,15,7,14.29,0.0,True
