train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-02-27,2024-05-26,2024-05-27,2024-06-26,3,8,62.5,1.4,True
2024-03-27,2024-06-26,2024-06-27,2024-07-26,3,9,44.44,-1.94,False
2024-04-27,2024-07-26,2024-07-27,2024-08-26,12,10,20.0,-1.04,False
2024-06-27,2024-09-26,2024-09-27,2024-10-26,10,12,16.67,-1.66,False
2024-08-27,2024-11-26,2024-11-27,2024-12-26,4,8,75.0,0.11,True
2024-12-27,2025-03-26,2025-03-27,2025-04-26,8,5,0.0,-15.05,False
2025-01-27,2025-04-26,2025-04-27,2025-05-26,13,10,90.0,3.41,True
2025-02-27,2025-05-26,2025-05-27,2025-06-26,10,5,40.0,-0.93,False
2025-04-27,2025-07-26,2025-07-27,2025-08-26,9,8,100.0,6.84,True
2025-05-27,2025-08-26,2025-08-27,2025-09-26,16,5,0.0,-6.98,False
2025-07-27,2025-10-26,2025-10-27,2025-11-26,9,11,63.64,1.72,True
2025-08-27,2025-11-26,2025-11-27,2025-12-26,12,7,14.29,-0.66,False
2025-09-27,2025-12-26,2025-12-27,2026-01-26,18,6,83.33,7.22,True
2025-11-27,2026-02-26,2026-02-27,2026-03-26,17,5,20.0,-11.39,False
