train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-01-22,2024-04-21,2024-04-22,2024-05-21,4,8,87.5,4.26,True
2024-02-22,2024-05-21,2024-05-22,2024-06-21,12,7,42.86,-1.37,False
2024-03-22,2024-06-21,2024-06-22,2024-07-21,19,12,25.0,-1.36,False
2024-04-22,2024-07-21,2024-07-22,2024-08-21,27,9,88.89,1.81,True
2024-06-22,2024-09-21,2024-09-22,2024-10-21,25,6,16.67,-1.17,False
2024-07-22,2024-10-21,2024-10-22,2024-11-21,19,5,0.0,-6.1,False
2024-08-22,2024-11-21,2024-11-22,2024-12-21,15,5,60.0,0.48,True
2024-11-22,2025-02-21,2025-02-22,2025-03-21,9,6,0.0,-1.7,False
2025-03-22,2025-06-21,2025-06-22,2025-07-21,4,6,83.33,1.7,True
2025-06-22,2025-09-21,2025-09-22,2025-10-21,10,9,11.11,-3.02,False
2025-07-22,2025-10-21,2025-10-22,2025-11-21,13,7,100.0,10.88,True
2025-08-22,2025-11-21,2025-11-22,2025-12-21,20,5,100.0,11.44,True
2025-12-22,2026-03-21,2026-03-22,2026-04-21,4,6,0.0,-4.4,False
2026-01-22,2026-04-21,2026-04-22,2026-05-21,8,7,71.43,3.56,True
