train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-01-29,2024-04-28,2024-04-29,2024-05-28,35,5,40.0,0.8,True
2024-02-29,2024-05-28,2024-05-29,2024-06-28,28,13,23.08,-2.29,False
2024-05-29,2024-08-28,2024-08-29,2024-09-28,4,10,80.0,1.8,True
2024-06-29,2024-09-28,2024-09-29,2024-10-28,4,7,57.14,-0.72,False
2024-09-29,2024-12-28,2024-12-29,2025-01-28,3,6,50.0,-1.42,False
2025-01-29,2025-04-28,2025-04-29,2025-05-28,8,10,90.0,5.95,True
2025-02-28,2025-05-27,2025-05-28,2025-06-27,16,7,57.14,4.89,True
2025-03-28,2025-06-27,2025-06-28,2025-07-27,20,11,90.91,1.56,True
2025-04-28,2025-07-27,2025-07-28,2025-08-27,29,6,50.0,2.55,True
2025-05-28,2025-08-27,2025-08-28,2025-09-27,6,9,0.0,-3.36,False
2025-07-28,2025-10-27,2025-10-28,2025-11-27,9,15,80.0,2.44,True
2025-08-28,2025-11-27,2025-11-28,2025-12-27,3,16,68.75,2.52,True
2025-09-28,2025-12-27,2025-12-28,2026-01-27,35,7,100.0,12.05,True
2025-10-28,2026-01-27,2026-01-28,2026-02-27,38,12,83.33,7.13,True
2025-11-28,2026-02-27,2026-02-28,2026-03-27,35,5,0.0,-12.62,False
2026-01-28,2026-04-27,2026-04-28,2026-05-27,19,16,50.0,0.93,True
