train_start,train_end,test_start,test_end,train_samples,test_samples,test_win_rate,test_avg_return,test_positive
2024-02-29,2024-05-28,2024-05-29,2024-06-28,6,8,62.5,0.97,True
2024-03-29,2024-06-28,2024-06-29,2024-07-28,8,5,100.0,3.67,True
2024-05-29,2024-08-28,2024-08-29,2024-09-28,10,9,66.67,0.9,True
2024-07-29,2024-10-28,2024-10-29,2024-11-28,3,11,63.64,1.39,True
2024-09-29,2024-12-28,2024-12-29,2025-01-28,19,13,38.46,-0.15,False
2024-11-29,2025-02-27,2025-02-28,2025-03-27,19,7,0.0,-2.39,False
2024-12-29,2025-03-28,2025-03-29,2025-04-28,23,13,46.15,-4.29,False
2025-05-28,2025-08-27,2025-08-28,2025-09-27,4,9,44.44,0.2,True
2025-06-28,2025-09-27,2025-09-28,2025-10-27,13,5,40.0,-0.06,False
2026-02-28,2026-05-27,2026-05-28,2026-06-27,5,8,50.0,-0.1,False
